2026-04-13 23:07:47 | INFO     | core.evidence_retriever:__init__:68 | Loading metadata from data/metadata/chunks.jsonl
2026-04-13 23:07:47 | INFO     | core.evidence_retriever:_load_metadata:137 | Loaded 24,605 metadata entries
2026-04-13 23:07:47 | INFO     | core.verdict_engine:__init__:57 | Loading NLI model: cross-encoder/nli-deberta-v3-base
2026-04-13 23:07:52 | INFO     | core.verdict_engine:__init__:65 | NLI model using Apple MPS acceleration
2026-04-13 23:07:53 | INFO     | core.verdict_engine:__init__:72 | VerdictEngine ready
2026-04-13 23:07:53 | INFO     | core.pipeline:__init__:65 | VeriFactPipeline ready
2026-04-13 23:07:59 | INFO     | core.claim_decomposer:decompose:109 | LLM decomposed text into 2 claims
2026-04-13 23:07:59 | INFO     | utils.helpers:wrapper:41 | ClaimDecomposer.decompose completed in 6.134s
2026-04-13 23:07:59 | INFO     | core.pipeline:verify_text:80 | Stage 1 complete: 2 claims extracted
2026-04-13 23:07:59 | INFO     | utils.helpers:wrapper:41 | EvidenceRetriever.batch_retrieve completed in 0.275s
2026-04-13 23:07:59 | INFO     | core.pipeline:verify_text:87 | Stage 2 complete: evidence retrieved
2026-04-13 23:08:00 | INFO     | utils.helpers:wrapper:41 | VerdictEngine.judge completed in 1.173s
2026-04-13 23:08:00 | INFO     | utils.helpers:wrapper:41 | VerdictEngine.judge completed in 0.173s
2026-04-13 23:08:00 | INFO     | core.pipeline:verify_text:97 | Stage 3 complete: verdicts assigned
2026-04-13 23:08:05 | INFO     | core.pipeline:verify_text:105 | Stage 4–5 complete: output annotated
2026-04-13 23:08:05 | INFO     | utils.helpers:wrapper:41 | VeriFactPipeline.verify_text completed in 12.387s
2026-04-13 23:08:12 | INFO     | core.claim_decomposer:decompose:109 | LLM decomposed text into 2 claims
2026-04-13 23:08:12 | INFO     | utils.helpers:wrapper:41 | ClaimDecomposer.decompose completed in 6.563s
2026-04-13 23:08:12 | INFO     | core.pipeline:verify_text:80 | Stage 1 complete: 2 claims extracted
2026-04-13 23:08:12 | INFO     | utils.helpers:wrapper:41 | EvidenceRetriever.batch_retrieve completed in 0.286s
2026-04-13 23:08:12 | INFO     | core.pipeline:verify_text:87 | Stage 2 complete: evidence retrieved
2026-04-13 23:08:12 | INFO     | utils.helpers:wrapper:41 | VerdictEngine.judge completed in 0.352s
2026-04-13 23:08:12 | INFO     | utils.helpers:wrapper:41 | VerdictEngine.judge completed in 0.136s
2026-04-13 23:08:12 | INFO     | core.pipeline:verify_text:97 | Stage 3 complete: verdicts assigned
2026-04-13 23:08:17 | INFO     | core.pipeline:verify_text:105 | Stage 4–5 complete: output annotated
2026-04-13 23:08:17 | INFO     | utils.helpers:wrapper:41 | VeriFactPipeline.verify_text completed in 12.010s
2026-04-14 00:12:33 | INFO     | core.pipeline:__init__:53 | Initialising VeriFactPipeline (profile=interactive, provider=ollama, model=llama3.1:8b)
2026-04-14 00:12:33 | INFO     | core.llm_client:_try_init:52 | Ollama configured (model=llama3.1:8b, url=http://localhost:11434)
2026-04-14 00:12:33 | INFO     | core.claim_decomposer:__init__:100 | ClaimDecomposer initialised
2026-04-14 00:12:33 | INFO     | core.evidence_retriever:__init__:54 | Loading embedding model: sentence-transformers/all-MiniLM-L6-v2
2026-04-14 00:12:43 | INFO     | core.evidence_retriever:__init__:69 | Loading FAISS index from data/index/knowledge.index
2026-04-14 00:12:43 | INFO     | core.evidence_retriever:__init__:71 | Index loaded — 24,605 vectors
2026-04-14 00:12:43 | INFO     | core.evidence_retriever:__init__:81 | Loading metadata from data/metadata/chunks.jsonl
2026-04-14 00:12:43 | INFO     | core.evidence_retriever:_load_metadata:168 | Loaded 24,605 metadata entries
